id,host_id,neighbourhood,latitude,longitude,room_type,price,distance_to_center,zone
691643,1957255,PADOVA,45.50236,9.23319,Entire home/apt,191,5.4,4
691738,3043909,ISOLA,45.49104,9.18855,Entire home/apt,371,2.99,2
693630,3548103,TICINESE,45.4479,9.1776,Entire home/apt,169,2.08,2
693920,2978054,ISOLA,45.49345,9.18995,Entire home/apt,124,3.26,3
698687,3581658,XXII MARZO,45.46105,9.22242,Entire home/apt,65,2.51,2
699290,1957255,PADOVA,45.50178,9.23463,Shared room,28,5.42,4
700050,798186,VILLAPIZZONE,45.49491,9.15578,Private room,98,4.37,3
702139,3580858,GHISOLFA,45.48922,9.16596,Entire home/apt,149,3.38,3
709463,3008902,TORTONA,45.45347,9.15904,Entire home/apt,68,2.74,2
709966,3653422,GUASTALLA,45.45626,9.20364,Entire home/apt,48,1.35,1
710637,2158679,NAVIGLI,45.44588,9.16243,Entire home/apt,53,3,2
711493,3661755,NAVIGLI,45.44852,9.17662,Entire home/apt,92,2.06,2
713411,1527671,GIAMBELLINO,45.44989,9.14857,Entire home/apt,102,3.64,3
713786,335105,DUOMO,45.46264,9.18849,Entire home/apt,200,0.24,1
715392,559562,MAGENTA - S. VITTORE,45.46963,9.17063,Entire home/apt,90,1.67,2
717747,3700434,XXII MARZO,45.46486,9.20909,Entire home/apt,84,1.45,1
718020,1749204,S. CRISTOFORO,45.43882,9.15432,Private room,60,4,3
723981,3742633,CENTRALE,45.48323,9.20299,Private room,297,2.33,2
726493,3759926,S. CRISTOFORO,45.44564,9.15007,Entire home/apt,70,3.78,3
730692,3800185,PADOVA,45.49852,9.22457,Entire home/apt,30,4.65,4
736048,3840683,MACIACHINI - MAGGIOLINA,45.50103,9.19421,Entire home/apt,75,4.11,3
737797,2347489,BOVISA,45.50054,9.16836,Shared room,25,4.4,3
739252,3798545,MAGENTA - S. VITTORE,45.47025,9.16827,Entire home/apt,92,1.87,2
752066,2188448,STADERA,45.43267059326172,9.183494567871094,Private room,54,3.55,3
753046,3961167,GUASTALLA,45.46962,9.20348,Entire home/apt,110,1.18,1
754018,3966971,DUOMO,45.46399,9.19739,Entire home/apt,216,0.53,1
756000,3742633,CENTRALE,45.48323,9.20299,Private room,419,2.33,2
756319,3981376,TICINESE,45.45191,9.18472,Entire home/apt,104,1.44,1
756773,3983977,ISOLA,45.48579,9.18757,Entire home/apt,500,2.42,2
757409,3984083,GIAMBELLINO,45.44596,9.14222,Entire home/apt,120,4.29,3
